Question,Answer,Category,Related Document,Keywords,Department,Difficulty
What IT equipment am I entitled to?,Standard equipment: 14-inch laptop (Windows or Mac based on role and manager request); monitor (for office roles); headset; keyboard and mouse. Engineers may request a second monitor. Hardware beyond the standard kit requires manager and IT approval. See Onboarding Process (HR-OP-001) Section 2.2.,IT,Onboarding Process,IT equipment entitlement,All,Easy
What is the probation period?,The standard probation period is 3 months (90 days) for all new employees. During probation your performance is reviewed informally by your manager at 30 and 60 days. Formal confirmation occurs at the end of the 90-day period. See Onboarding Process (HR-OP-001) Section 10.,General,Onboarding Process,probation period length,All,Easy
Can my probation period be extended?,"Yes. If performance concerns exist, probation may be extended by up to 3 additional months with written notice from your manager and HRBP sign-off. Extension must be communicated before the end of the original probation period. See Onboarding Process (HR-OP-001) Section 10.3.",General,Onboarding Process,probation extension,All,Medium
What happens if I fail probation?,If performance during probation is not satisfactory you may be released at the end of the probation period with notice per your country's legal requirements. The decision requires HRBP and legal review. See Employee Handbook Section 20 (Termination).,General,Employee Handbook,fail probation termination,All,Hard
What is the notice period for resignation?,Notice periods by level: IC1–IC3: 30 days; IC4–IC5: 60 days; IC6–IC7 and all managers: 90 days. Country-specific legal minimums apply and take precedence if greater. Your exact notice period is in your employment contract. See Employee Handbook Section 20.2.,General,Employee Handbook,notice period resignation,All,Easy
How do I resign from OptiAgent?,Submit a written resignation to your manager and copy hr.global@optiagent.com. Your resignation must be in writing (email is acceptable). You will be contacted by HR within 2 business days to initiate the exit process. See Employee Handbook Section 20.3.,General,Employee Handbook,resignation process,All,Easy
What is included in the exit process?,"The exit process includes: completing a resignation form in Workday; returning all company equipment; revoking system access on your last day; completing an exit interview with HR; receiving a full and final settlement of salary, leave encashment, and benefits. See Employee Handbook Section 20.4.",General,Employee Handbook,exit process offboarding,All,Easy
How do I access my payslips?,Payslips are available in Workday under Pay > Payslips. They are generated on the last working day of each month (USA/UK/SG) or the 1st working day of the following month (India/Germany). Historical payslips are available for 3 years.,Payroll,Workday,payslip access Workday,All,Easy
Who do I contact for payroll queries?,For payroll discrepancies contact the Payroll team at payroll@optiagent.com. For urgent issues in the first 3 days of the month use the payroll helpline listed in the Employee Handbook Section 5 (Internal Contacts).,Payroll,Employee Handbook,payroll contact query,Finance,Easy
What is the payroll cycle?,USA: Semi-monthly (1st and 15th). UK: Monthly (last business day). India: Monthly (last business day). Germany: Monthly (last business day). Singapore: Monthly (last business day). See Employee Handbook Section 11.2.,Payroll,Employee Handbook,payroll cycle pay date,All,Easy
How do I update my bank account for payroll?,Log in to Workday > Pay > Payment Elections. Update your bank account details. Changes take effect from the next payroll cycle if submitted at least 5 business days before the pay date.,Payroll,Workday,update bank account payroll,All,Easy
How do I enroll in health insurance benefits?,Health insurance enrollment is completed during onboarding in Workday > Benefits > Benefit Elections. You have 30 days from your start date to enroll. Outside of this window you may only change elections during the annual Open Enrollment period (October–November). See Onboarding Process (HR-OP-001) Section 6.,Benefits,Onboarding Process,health insurance enrollment,All,Easy
What health insurance plans are available?,Plans vary by country. USA: Medical/Dental/Vision via Aetna (3 plan tiers). UK: Private medical insurance via BUPA. India: Group health insurance via Star Health covering employee + spouse + 2 children. Germany: Company contributes to the statutory health insurance (GKV). Singapore: Group hospitalization via Great Eastern. See Employee Handbook Section 6 for details.,Benefits,Employee Handbook,health insurance plans,All,Easy
Is there a life insurance benefit?,Yes. All employees receive a group term life insurance equivalent to 3x annual base salary at no cost to the employee. Additional coverage can be purchased during Open Enrollment. USA employees also have Short-Term and Long-Term Disability coverage. See Employee Handbook Section 6.4.,Benefits,Employee Handbook,life insurance benefit,All,Easy
What is the Employee Assistance Program (EAP)?,The EAP provides free and confidential counseling, mental health support, financial advice, and legal consultations. Available 24/7 at 1-800-OPT-HELP (USA) or via the EAP portal (eap.optiagent.com). See Employee Handbook Section 6.7.,Benefits,Employee Handbook,EAP mental health counseling,All,Easy
How do I enroll in the 401(k) plan (USA)?,USA employees may enroll in the OptiAgent 401(k) plan via Fidelity NetBenefits within 30 days of hire. OptiAgent matches 100% of employee contributions up to 4% of base salary. See Employee Handbook Section 6.3 (USA Benefits).,Benefits,Employee Handbook,401k retirement savings USA,USA,Easy
What is the pension arrangement in the UK?,UK employees are auto-enrolled into the OptiAgent UK Pension Scheme (via Aviva) at a 5% employee contribution and 4% employer contribution. You may opt out but will be re-enrolled annually per UK law. See Employee Handbook Section 6.3 (UK Benefits).,Benefits,Employee Handbook,pension UK benefits,UK,Easy
What is the PF/EPF arrangement in India?,India employees are enrolled in the Employees' Provident Fund (EPF) mandatorily. Contribution: 12% of basic salary from the employee; 12% from the employer (split between EPF and EPS). Employees may also opt for the Voluntary Provident Fund (VPF). See Employee Handbook Section 6.3 (India Benefits).,Benefits,Employee Handbook,provident fund EPF India,India,Easy
How do I submit an IT helpdesk request?,Submit a ticket via the IT Helpdesk portal (it.optiagent.com/helpdesk) or email it.help@optiagent.com. For urgent issues you may also call the helpdesk on the number listed in Employee Handbook Section 5 (Internal Contacts). Response SLA: P1 = 1 hour; P2 = 4 hours; P3 = 1 business day.,IT,Employee Handbook,IT helpdesk support request,IT Operations,Easy
How do I request a software license?,Submit a software license request via ServiceNow (it.optiagent.com/servicenow). Requests must include a business justification. Standard licenses are provisioned within 2 business days. Non-standard software must be approved by IT Security before purchase. See Company Policy Section 2.3.,IT,Company Policy,software license request,IT Operations,Easy
What is the company's data classification policy?,Data is classified into four tiers: Restricted, Confidential, Internal, and Public. See Company Policy (OAT-CP-001) Section 8 for full definitions and handling requirements for each tier. All documents must be labeled using Microsoft Purview.,Data,Company Policy,data classification tiers,All,Medium
Can I use ChatGPT or Claude for work?,Personal consumer versions of AI tools (ChatGPT Personal, Claude.ai Personal, Gemini consumer) are not approved for use with company data. Approved tools include OptiAgent Enterprise Platform, Microsoft 365 Copilot, and GitHub Copilot (engineering only). See Company Policy Section 12.,IT,Company Policy,AI tool ChatGPT Claude approved,All,Medium
Can I install software on my company laptop?,Only IT-approved software may be installed on company laptops. Submit a software request via ServiceNow. Installing unauthorized software including browser extensions without IT approval is a policy violation under Company Policy Section 2.3.,IT,Company Policy,install software laptop,IT Operations,Easy
What is the password requirement?,Passwords must be at least 14 characters and include uppercase, lowercase, numbers, and special characters. MFA is mandatory for all accounts. Use the company-licensed 1Password manager. See Company Policy Section 4.,IT,Company Policy,password requirements length,IT Operations,Easy
What MFA methods are approved?,Approved MFA: YubiKey hardware token (required for production access), Microsoft Authenticator app, Google Authenticator app, or Authenticator push notification. SMS OTP is only permitted as a fallback recovery method. See Company Policy Section 4.2.,IT,Company Policy,MFA multi-factor authentication,IT Operations,Easy
What do I do if I lose my work laptop?,Report immediately to IT Helpdesk (it.help@optiagent.com) and IT Security (security@optiagent.com). Do not attempt to locate or retrieve it yourself. IT will trigger a remote wipe. File a police report if stolen. See Company Policy Section 9.1.,IT,Company Policy,lost stolen laptop,IT Operations,Easy
What do I do if I receive a phishing email?,Do not click any links or open attachments. Report the email using the Phish Alert Button (PAB) in Outlook or forward to security@optiagent.com. Do not delete the email before reporting. See Company Policy Section 9.1.,Security,Company Policy,phishing email report,All,Easy
How do I report a data breach?,Report any suspected data breach immediately to security@optiagent.com and your manager. Do not attempt to investigate yourself. The SOC team will respond within 15 minutes for critical incidents. See Company Policy Section 9.,Security,Company Policy,data breach report,All,Easy
What is the performance review cycle?,Performance reviews occur twice per year: H1 review in July and H2 (annual) review in January. Ratings use a 5-point scale. See Employee Handbook Section 13 for the full performance management process.,Performance,Employee Handbook,performance review cycle,All,Easy
What are the performance rating levels?,"1 = Needs Improvement, 2 = Developing, 3 = Meets Expectations, 4 = Exceeds Expectations, 5 = Outstanding. Most employees receive a 3. Ratings of 4 and 5 require calibration justification. See Employee Handbook Section 13.2.",Performance,Employee Handbook,performance rating scale,All,Easy
Can I appeal my performance rating?,Yes. You may raise concerns about your rating with your HRBP within 10 business days of receiving your review. The HRBP will facilitate a discussion with your manager and their manager. See Employee Handbook Section 13.5.,Performance,Employee Handbook,appeal performance rating,All,Medium
What learning and development resources are available?,All employees have access to LinkedIn Learning, Coursera for Business, and the internal OptiAgent L&D Portal. A learning budget of USD 1500/year (or country equivalent) is available for external courses and certifications. See Employee Handbook Section 15.,Learning,Employee Handbook,learning development training budget,All,Easy
How do I access LinkedIn Learning?,Log in using your OptiAgent SSO credentials at learning.linkedin.com/optiagent. You do not need a separate account. Access is available to all employees. See Employee Handbook Section 15.2.,Learning,Employee Handbook,LinkedIn Learning access,All,Easy
What is the annual learning budget?,USD 1500 per employee per fiscal year (April 1 to March 31). Country-equivalent amounts: INR 80000 (India); GBP 1200 (UK); EUR 1400 (Germany); SGD 2000 (Singapore). Approvals required in Workday. See Employee Handbook Section 15.3.,Learning,Employee Handbook,learning budget amount,All,Easy
How do I get approval for an external training course?,Submit a Learning Request in Workday with the course details, cost, and business justification at least 2 weeks before the start date. Your manager approves requests up to USD 500. USD 501–1500 requires HRBP co-approval.,Learning,Employee Handbook,training approval external course,All,Easy
Is there a mentoring program?,Yes. The OptiAgent MentorConnect program pairs employees with senior mentors for a 6-month engagement. Applications open in February and August each year via the L&D Portal. See Employee Handbook Section 15.5.,Learning,Employee Handbook,mentoring mentorship program,All,Easy
What is the code of conduct?,The Code of Conduct outlines the ethical standards all employees must uphold including integrity, respect, legal compliance, and protection of company assets. See Employee Handbook Section 2. All employees must complete the annual Code of Conduct training in the L&D Portal.,Ethics,Employee Handbook,code of conduct ethics,All,Easy
What is the whistleblower policy?,OptiAgent has a formal Speak Up policy. Employees can report concerns about ethics violations, fraud, or policy breaches anonymously via the Ethics Hotline (1-800-OPT-ETHX) or at ethics.optiagent.com. No retaliation is permitted. See Employee Handbook Section 17.,Ethics,Employee Handbook,whistleblower speak up hotline,All,Easy
How do I report harassment or discrimination?,"Report to your HRBP, directly to hr.global@optiagent.com, or via the Ethics Hotline anonymously. All reports are treated confidentially. See Employee Handbook Section 3 (Anti-Harassment Policy) for the full investigation process.",Ethics,Employee Handbook,harassment discrimination report,All,Easy
What is the conflict of interest policy?,Employees must disclose any personal financial interest, outside employment, or personal relationship that could conflict with their duties at OptiAgent. Disclosure is made via the Conflict of Interest form in Workday. See Employee Handbook Section 16.,Ethics,Employee Handbook,conflict of interest disclosure,All,Medium
Can I have a second job while working at OptiAgent?,Secondary employment must be disclosed and must not conflict with OptiAgent's business interests, consume work time, or involve competitors or customers. Submit a disclosure form via Workday. Final approval requires HRBP and manager sign-off. See Employee Handbook Section 16.2.,Ethics,Employee Handbook,second job outside employment,All,Medium
What is the anti-bribery policy?,OptiAgent prohibits offering, giving, soliciting, or accepting bribes or facilitation payments in any form in compliance with the US FCPA and UK Bribery Act. Training is mandatory annually. See Employee Handbook Section 2.5.,Ethics,Employee Handbook,bribery anti-corruption FCPA,All,Medium
Can I accept gifts from vendors or customers?,Gifts with a value under USD 50 (or local equivalent) may be accepted. Gifts above this threshold must be disclosed via the Gift & Hospitality Register in Workday. Cash gifts are never permitted regardless of value. See Employee Handbook Section 16.3.,Ethics,Employee Handbook,gifts vendors customers,All,Easy
How do I access the HR portal?,The HR Portal is accessible via the Okta dashboard (login.optiagent.com) under the Workday tile. All HR documents, policies, and self-service functions are available there. You can also access SharePoint for HR policy documents.,General,Employee Handbook,HR portal access,All,Easy
What is Workday used for?,Workday is OptiAgent's HRIS (Human Resources Information System). It is used for: leave requests, expense claims, performance reviews, payslips, benefits enrollment, personal information updates, learning requests, and organizational charts. Access via login.optiagent.com.,IT,Workday,Workday HRIS functions,All,Easy
How do I update my personal information (address, phone number)?,"Log in to Workday > My Profile > Personal Information. You can update your address, emergency contacts, and phone number there. For legal name changes, contact hr.global@optiagent.com and provide official documentation.",General,Workday,update personal information Workday,All,Easy
How do I change my tax withholding information (USA)?,Log in to Workday > Pay > Withholding Elections to update your W-4 information. Changes take effect from the next payroll cycle if submitted at least 3 business days before the pay date. Contact payroll@optiagent.com for assistance.,Payroll,Workday,tax withholding W4 USA,USA,Medium
Who is my HR Business Partner (HRBP)?,You can find your assigned HRBP in Workday under My Profile > HR Contacts. HRBP assignments are by department and country. For general inquiries contact hr.global@optiagent.com.,General,Workday,HR Business Partner HRBP,All,Easy
How do I request a reference letter?,Contact hr.global@optiagent.com to request an employment verification or reference letter. Standard employment verification letters are processed within 3 business days. Detailed reference letters require manager input and may take up to 5 business days.,General,Employee Handbook,reference letter employment verification,All,Easy
What are the working hours in India?,Standard working hours in India are 9:00 AM to 6:00 PM IST Monday to Friday with a 1-hour lunch break. Total working hours per week: 45 hours. Overtime is governed by the applicable state Shops and Establishments Act. See Employee Handbook Section 8.2.,General,Employee Handbook,working hours India,India,Easy
What are the working hours in Germany?,Germany: Standard hours are 8 hours per day / 40 hours per week per the Arbeitszeitgesetz (Working Hours Act). Overtime requires manager approval and must be compensated through comp off or pay. Rest period between shifts: minimum 11 hours. See Employee Handbook Section 8.4.,General,Employee Handbook,working hours Germany Arbeitszeitgesetz,Germany,Medium
What is the GDPR policy at OptiAgent?,OptiAgent acts as a Data Controller for employee data and a Data Processor for customer data under GDPR. Employee data processing activities and your rights as a data subject are detailed in Company Policy Section 15. Submit data subject requests to privacy@optiagent.com.,Data,Company Policy,GDPR data privacy employee,All,Medium
How do I submit a data subject access request?,Submit your request to privacy@optiagent.com. Include your full name, employee ID, and specify the data you wish to access. OptiAgent will respond within 30 calendar days. See Company Policy Section 15.3.,Data,Company Policy,data subject access request DSAR,All,Medium
What is OptiAgent's background check process?,All new hires undergo background verification covering: identity check, employment history (5 years), education verification, criminal record check (where legally permitted), and credit check (finance and senior roles only). See Onboarding Process (HR-OP-001) Section 1.3.,Onboarding,Onboarding Process,background check verification,All,Easy
How long does the background check take?,Background checks typically take 5–10 business days. Your start date may be contingent on successful completion. Contact talent.ops@optiagent.com if there are delays or concerns with your check.,Onboarding,Onboarding Process,background check duration,All,Easy
What happens on Day 1 of onboarding?,Day 1 includes: equipment collection or delivery, Workday account activation, IT orientation (1–2 hours), HR orientation (1 hour), benefits enrollment briefing, and introduction to your team. See Onboarding Process (HR-OP-001) Section 4.,Onboarding,Onboarding Process,first day onboarding schedule,All,Easy
What is the 30-60-90 day plan?,The 30/60/90-day plan is a structured plan created by you and your manager to set expectations for your first three months. Day 30: understand the role and team. Day 60: start contributing to projects. Day 90: operate independently and deliver. See Onboarding Process (HR-OP-001) Section 9.,Onboarding,Onboarding Process,30 60 90 day plan,All,Easy
What security training is required during onboarding?,New employees must complete three mandatory security training modules within the first 14 days: Security Awareness Basics, Phishing Awareness, and Data Privacy Essentials. These are in the L&D Portal. See Onboarding Process (HR-OP-001) Section 5.3.,Security,Onboarding Process,security training onboarding mandatory,All,Easy
How do I access the VPN?,Install the GlobalProtect VPN client (available in the IT Software Catalog on ServiceNow). Connect using your Okta credentials with MFA. VPN is required for accessing internal systems from outside the office or via BYOD. See Company Policy Section 3 and IT Helpdesk guide.,IT,Company Policy,VPN access remote,IT Operations,Easy
What is the acceptable use policy for personal devices?,Personal devices (BYOD) may only be used to access company email, Teams, SharePoint (view only), and Workday. All BYOD devices must be enrolled in Microsoft Intune. See Company Policy Section 5 for the full BYOD policy.,IT,Company Policy,BYOD personal device policy,IT Operations,Easy
Can I print confidential documents?,Yes, but you must collect printed documents immediately and not leave them unattended. Confidential and Restricted documents must be stored in locked drawers after printing. Unattended sensitive documents in printers or meeting rooms are a policy violation. See Company Policy Section 11.2.,Security,Company Policy,print confidential documents,All,Easy
What is the clean desk policy?,At end of day all classified and confidential documents must be stored securely. Your computer screen must be locked. No sensitive materials should be left visible. See Company Policy Section 11.2.,Security,Company Policy,clean desk policy,All,Easy
What happens to my access on my last day?,IT will revoke all system access on your last working day (or upon notice in cases of immediate termination). Ensure all company data is returned and devices are handed over to IT. Your access badge will also be deactivated. See Employee Handbook Section 20.4.,General,Employee Handbook,access revocation last day,IT Operations,Easy
What is the referral bonus for referring a new hire?,OptiAgent offers a referral bonus of USD 2000 (or local equivalent) for successful referrals hired into IC3+ roles. The bonus is paid 90 days after the referred employee's start date subject to both parties being active employees. See Employee Handbook Section 5.6.,Compensation,Employee Handbook,referral bonus hire,All,Easy
How do I submit a referral for an open position?,Submit referrals via the Workday Recruiting module under Refer a Candidate. Include the candidate's CV and your relationship. You will receive updates on the status of your referral.,Recruitment,Workday,employee referral submission,All,Easy
What is the maternity leave top-up?,During maternity leave OptiAgent pays the difference between statutory pay and 100% of your base salary for the duration of company-paid maternity leave (16 weeks globally; see Leave Policy for country-specific extensions). Return-to-work support includes a graduated return option.,Leave,Leave Policy,maternity leave top-up full pay,All,Medium
Can I take leave without pay (LWP)?,LWP is available at manager and HRBP discretion for personal reasons when all paid leave has been exhausted. Maximum LWP: 90 days in a rolling 12 months. Benefits may be affected during LWP. Submit via Workday and email hr.global@optiagent.com.,Leave,Leave Policy,leave without pay LWP,All,Medium
