Question,Answer,Category,Related Document,Keywords,Department,Difficulty
What is the per diem rate in Germany?,EUR 28 per day for full days away (more than 24 hours) and EUR 14 for 8–24 hours away. These are the legally mandated maximums under German Reisekostenrecht and cannot be increased. See Expense_Guidelines.txt Part 3.,Travel,Expense Guidelines,per diem Germany Reisekostenrecht,Germany,Medium
What is the per diem rate in India?,INR 2000 per day for standard employees and INR 3000 per day for Director and above. See Expense_Guidelines.txt Part 3.,Travel,Expense Guidelines,per diem India rate,India,Easy
What is the per diem rate in the UK?,GBP 60 per day for standard employees and GBP 80 per day for Director and above. See Expense_Guidelines.txt Part 3.,Travel,Expense Guidelines,per diem UK rate,UK,Easy
What is the per diem rate in Singapore?,SGD 80 per day for standard employees and SGD 110 per day for Director and above. See Expense_Guidelines.txt Part 3.,Travel,Expense Guidelines,per diem Singapore rate,Singapore,Easy
Can I fly business class?,Business class is only permitted for flights of 6 hours or longer AND for employees at Director (M3) level or above. Business class for IC-level employees on long-haul flights requires VP approval. First class is never permitted. See Expense_Guidelines.txt Part 4.,Travel,Expense Guidelines,business class flight policy,All,Easy
Where do I book business travel?,All business travel must be booked via Egencia (OptiAgent's corporate travel portal at travel.optiagent.com accessible via Okta). Booking outside Egencia without approval is a policy violation. See Finance_Policy.docx Section 5.1.,Travel,Finance Policy,book travel Egencia portal,All,Easy
Do I need pre-approval for international travel?,Yes. International travel requires manager and VP approval via Workday before booking. Intercontinental travel also requires Finance approval. Travel to high-risk countries requires additional CISO and Legal approval. See Finance_Policy.docx Section 5.2.,Travel,Finance Policy,international travel pre-approval,All,Easy
What travel insurance does the company provide?,All employees travelling on company business booked via Egencia are automatically covered by the Allianz Business Travel Insurance policy. Coverage includes medical emergencies, trip cancellation, delayed baggage, and accidental death. See Finance_Policy.docx Section 5.6.,Travel,Finance Policy,travel insurance business Allianz,All,Easy
Can I keep airline loyalty miles earned on business travel?,Yes. You may keep personal loyalty points earned on company travel. However you must not choose a more expensive option solely to earn points. The decision must always be based on best value for the company. See Expense_Guidelines.txt Part 4.,Travel,Expense Guidelines,loyalty miles frequent flyer,All,Easy
What is the mobile phone allowance?,Allowances by grade: IC1–IC3: USD 30/month; IC4–IC6: USD 50/month; M1–M3: USD 60/month; M4+: USD 80/month. Submit your monthly bill via Workday Expense > Mobile Allowance. See Salary_Grades.xlsx Sheet 5 and Expense_Guidelines.txt Part 7.,Expenses,Salary Grades,mobile phone allowance grade,All,Easy
What is the internet allowance for remote employees?,Designated full remote employees receive USD 60 per month (or country equivalent) for internet costs. Submit via Workday Expense > Internet Allowance each month with a copy of your bill. See Expense_Guidelines.txt Part 7.,Expenses,Expense Guidelines,internet allowance remote,All,Easy
What can I spend my home office allowance on?,Remote employees have a one-time USD 500 allowance for home office equipment: desk, ergonomic chair, external monitor, keyboard, mouse, headset, or webcam. Must be claimed within 90 days of remote designation. Decorative items are not eligible. See Expense_Guidelines.txt Part 7.,Expenses,Expense Guidelines,home office allowance equipment,All,Easy
Who approves my expense report?,Your direct manager approves expense reports in Workday. For amounts over USD 1000 your manager's manager also reviews. Finance processes reimbursement after manager approval. See Finance_Policy.docx Section 4.2.,Expenses,Finance Policy,expense report approval,All,Easy
What is non-reimbursable?,Non-reimbursable items include: personal grooming, clothing, traffic fines, parking tickets, personal entertainment, mini-bar charges, first-class airfare, spouse or family expenses without explicit pre-approval, and personal software subscriptions. See Finance_Policy.docx Section 4.4.,Expenses,Finance Policy,non-reimbursable expenses list,All,Easy
Can I claim a working desk lunch delivered to the office?,Yes. Meals delivered to the office during a formal working lunch meeting are reimbursable at up to USD 25 per person. Attach the itemized order receipt (not just the payment confirmation). See Expense_Guidelines.txt Part 5.,Expenses,Expense Guidelines,desk lunch delivery reimbursable,All,Easy
Can I get a corporate credit card?,Corporate credit cards are issued to IC5+ employees and all managers (M1+) and frequent travelers (4+ trips per year). Apply via finance.ap@optiagent.com. Cards are for business use only and must be reconciled monthly. See Finance_Policy.docx Section 4.5.,Expenses,Finance Policy,corporate credit card apply,Finance,Medium
What happens if I accidentally use my corporate card for a personal expense?,Repay the personal charge within 14 days via the repayment process in Workday. Repeated personal use of a corporate card is a disciplinary matter. Contact ap@optiagent.com for the repayment process. See Finance_Policy.docx Section 4.5.,Expenses,Finance Policy,corporate card personal use,All,Medium
Can I give a gift to a customer or vendor?,Client gifts are allowed up to USD 75 per gift per recipient per year with manager pre-approval. Cash gifts and gift cards are never permitted. Gifts to government officials require Legal approval. See Expense_Guidelines.txt Part 6.,Ethics,Expense Guidelines,client gift vendor limit,All,Medium
Can I accept a gift from a vendor?,Gifts under USD 50 may be accepted. Between USD 50 and USD 150 must be declared in the Gift and Hospitality Register in Workday. Over USD 150 must be declined or donated. Cash gifts are never accepted. See Expense_Guidelines.txt Part 6.,Ethics,Expense Guidelines,accept gift vendor,All,Medium
What do I do if my expense claim is rejected?,Review the rejection reason in Workday. Address the issue (attach missing receipt; correct the amount; add business purpose) and re-submit. If you believe the rejection was in error contact ap@optiagent.com. See Expense_Guidelines.txt Part 9.,Expenses,Expense Guidelines,expense rejected Workday,All,Easy
How do I purchase software for my team?,Submit a software license request via ServiceNow (IT > Software Request). IT Security must review all new software before procurement. After IT Security approval Finance raises a purchase order. See Finance_Policy.docx Section 6.5 and Company_Policy.docx Section 2.3.,Procurement,Finance Policy,software purchase approval IT Security,All,Medium
What is the minimum number of quotes required for a USD 30000 purchase?,At least 3 quotes are required for purchases between USD 10001 and USD 50000 and a formal RFQ (Request for Quotation) must be completed. Director + Finance approval is required. See Finance_Policy.docx Section 6.2.,Procurement,Finance Policy,quotes procurement RFQ,Finance,Medium
Who needs to approve a new vendor?,All new vendors must complete the vendor onboarding process via the Vendor Portal (vendors.optiagent.com) before any purchase order is raised or payment is made. Procurement and Finance approve the vendor; Legal reviews MSA/DPA; IT Security reviews vendors accessing Restricted data. See Finance_Policy.docx Section 6.3.,Procurement,Finance Policy,new vendor approval onboarding,Finance,Medium
What is a Purchase Order and do I need one?,A Purchase Order (PO) is the official company commitment document for buying from a vendor. A PO is required in NetSuite for all purchases above USD 1000. Invoices without a PO number will be placed on hold. See Finance_Policy.docx Section 7.1.,Procurement,Finance Policy,purchase order PO NetSuite,All,Medium
Where do I send vendor invoices?,Vendor invoices should be sent to ap@optiagent.com or submitted via the vendor portal (vendors.optiagent.com). If you receive an invoice directly forward it to ap@optiagent.com within 2 business days. See Finance_Policy.docx Section 7.1.,Finance,Finance Policy,vendor invoice submit AP,Finance,Easy
What are the standard payment terms for vendors?,Standard payment terms are Net 30 (30 days from invoice date) for most vendors. Strategic vendors may have Net 45. Small vendors under USD 5000 annual spend: Net 15. Freelancers: Net 15. See Finance_Policy.docx Section 7.2.,Finance,Finance Policy,payment terms vendor Net 30,Finance,Easy
What do I do if a vendor asks to change their bank account details?,Never change a vendor's bank account based solely on an email request. Always verify by calling a known contact at the vendor before making any bank account changes in NetSuite. This is a critical fraud prevention control. See Finance_Policy.docx Section 7.4.,Security,Finance Policy,vendor bank account change fraud,Finance,Hard
How do I request a budget transfer between cost centers?,Submit a Budget Amendment Request (BAR) form in NetSuite. Transfers between cost centers within the same department require VP approval and Finance notification. Cross-department transfers require CFO approval. See Finance_Policy.docx Section 3.3.,Finance,Finance Policy,budget transfer cost center,Finance,Medium
Where can I see my department's budget vs. actuals?,Budget vs. actuals are visible in NetSuite (for Finance users) and in the Anaplan Finance Dashboard (for budget owners at M2+ level). Contact your Finance Business Partner for a monthly budget report. See Finance_Policy.docx Section 3.2.,Finance,Finance Policy,budget actuals report,Finance,Medium
When does the annual budget process start?,The budget process kicks off in August with strategic planning guidance from the CFO and CEO. Bottom-up submissions from department heads are due in October. Board approval occurs at the December board meeting. The approved budget is loaded into NetSuite by December 31. See Finance_Policy.docx Section 3.1 and Chart_of_Accounts.xlsx (Close Calendar tab).,Finance,Finance Policy,annual budget process timeline,Finance,Medium
What is OptiAgent's fiscal year?,OptiAgent Technologies operates on a calendar fiscal year: January 1 through December 31. See Finance_Policy.docx Section 3.1.,Finance,Finance Policy,fiscal year calendar,All,Easy
Who is the CFO of OptiAgent?,The CFO is Alexandra Chen. She can be reached at cfo@optiagent.com. See Finance_Policy.docx Section 1.3.,Finance,Finance Policy,CFO chief financial officer,All,Easy
Who do I contact for payroll questions?,Contact the Payroll team at payroll@optiagent.com. The Payroll Manager is Ravi Kumar. See Finance_Policy.docx Section 1.3 and Employee_Handbook.pdf Section 5 for the payroll helpline number.,Payroll,Finance Policy,payroll contact Ravi Kumar,All,Easy
What is the payroll date in India?,India payroll is processed monthly and paid on the last business day of each month. The cutoff for changes is the 10th of each month. See Finance_Policy.docx Section 12.1.,Payroll,Finance Policy,payroll date India monthly,India,Easy
What is the payroll cycle in the USA?,USA employees are paid semi-monthly: on the 1st and 15th of each month. The cutoff for changes is 5 business days before the pay date. See Finance_Policy.docx Section 12.1.,Payroll,Finance Policy,payroll cycle USA semi-monthly,USA,Easy
What is the payroll cycle in the UK?,UK employees are paid monthly on the last business day of each month. The cutoff for changes is the 10th of the month. See Finance_Policy.docx Section 12.1.,Payroll,Finance Policy,payroll cycle UK monthly,UK,Easy
What is the payroll cycle in Germany?,Germany employees are paid monthly on the last business day of each month. Payroll is processed via ADP GlobalView. See Finance_Policy.docx Section 12.1.,Payroll,Finance Policy,payroll cycle Germany,Germany,Easy
What is the payroll cycle in Singapore?,Singapore employees are paid monthly on the last business day of each month. AWs (Annual Wage Supplement) is paid in December. See Finance_Policy.docx Section 12.1.,Payroll,Finance Policy,payroll cycle Singapore AWS,Singapore,Easy
What revenue recognition standard does OptiAgent use?,OptiAgent recognizes revenue under ASC 606 (US GAAP) for consolidated reporting and IFRS 15 for statutory reporting. Revenue is recognized when performance obligations are satisfied. Non-standard contracts must be reviewed by Revenue Accounting before signing. See Finance_Policy.docx Section 8.1.,Finance,Finance Policy,revenue recognition ASC 606 IFRS 15,Finance,Hard
What happens when a customer pays in advance (prepayment)?,Advance payments create a Deferred Revenue liability (GL account 2200) that is recognized as revenue only when the performance obligation is met (typically over the subscription term). See Finance_Policy.docx Section 8.1 and Chart_of_Accounts.xlsx (Account 2200).,Finance,Finance Policy,deferred revenue prepayment customer,Finance,Hard
What is the invoicing term for customers?,Standard customer invoice terms are Net 30 unless the customer contract specifies different terms. Customer invoicing is performed by Revenue Operations via Salesforce CPQ and synced to NetSuite. See Finance_Policy.docx Section 8.2.,Finance,Finance Policy,invoice terms customer Net 30,Finance,Medium
What happens to overdue customer payments?,Overdue AR is escalated: 31–60 days: AR Analyst + CSM outreach; 61–90 days: formal demand letter and credit hold; 91+ days: collections agency or legal proceedings. See Finance_Policy.docx Section 8.2.,Finance,Finance Policy,overdue payment collections AR,Finance,Medium
What bank does OptiAgent use in the USA?,The primary US bank is JPMorgan Chase for operating, payroll, and sweep accounts. See Finance_Policy.docx Section 9.1.,Finance,Finance Policy,bank JPMorgan Chase USA,Finance,Easy
What bank does OptiAgent use in India?,The primary India bank is HDFC Bank for the INR operating and payroll account. The EPF and gratuity trust is also managed via HDFC. See Finance_Policy.docx Section 9.1.,Finance,Finance Policy,bank HDFC India,Finance,Easy
What is the petty cash limit per location?,Petty cash funds must not exceed USD 500 (or local equivalent) at any office location. All petty cash disbursements must be recorded and reconciled monthly. See Finance_Policy.docx Section 9.2.,Finance,Finance Policy,petty cash limit,Finance,Easy
What is the capitalization threshold at OptiAgent?,Items with a cost above USD 2500 and a useful life of more than 12 months are capitalized as CapEx. Items below USD 2500 are expensed as OpEx. See Finance_Policy.docx Section 10.1.,Finance,Finance Policy,capitalization threshold CapEx,Finance,Medium
How long are laptops depreciated?,Company laptops and computer hardware are depreciated over 3 years using the straight-line method with USD 0 salvage value. See Finance_Policy.docx Section 11.2.,Finance,Finance Policy,depreciation laptop hardware 3 years,Finance,Medium
What is the CapEx approval limit for my level?,Under USD 25K: Manager + Finance. USD 25K–100K: Director + CFO. USD 100K–500K: VP + CFO + CEO. Above USD 500K: Board approval required. See Finance_Policy.docx Section 10.2.,Finance,Finance Policy,CapEx approval limit,Finance,Medium
What happens to capitalized software after it goes live?,Capitalized internal development costs (during the application development stage per ASC 350-40) are amortized over 3 years using the straight-line method from the go-live date. Post-implementation costs are expensed. See Finance_Policy.docx Section 10.3 and 11.2.,Finance,Finance Policy,capitalized software amortization ASC 350,Engineering,Hard
Who is the external auditor for OptiAgent?,The external financial auditor is Deloitte. The annual audit covers consolidated US GAAP financials and is completed by March 31 each year. SOC 2 Type II is also audited by Deloitte. See Finance_Policy.docx Section 16.2.,Finance,Finance Policy,external auditor Deloitte,Finance,Easy
What is the SOC 2 Type II audit period?,The SOC 2 Type II audit covers January 1 through December 31 each year. The report is produced by Deloitte. Customers can request the SOC 2 report via security.compliance@optiagent.com under NDA. See Finance_Policy.docx Section 16.3.,Security,Finance Policy,SOC2 audit period Deloitte,Finance,Medium
How do I report suspected fraud?,Report to internal.audit@optiagent.com or the anonymous Ethics Hotline (1-800-OPT-ETHX or ethics.optiagent.com). Also notify the CFO at cfo@optiagent.com. All reports are treated confidentially. See Finance_Policy.docx Section 17.2.,Ethics,Finance Policy,fraud report ethics hotline,All,Easy
What constitutes expense claim fraud?,Falsifying receipts, submitting personal expenses as business expenses, inflating claim amounts, or submitting the same expense twice all constitute fraud and may result in immediate termination and criminal referral. See Finance_Policy.docx Section 17.1.,Ethics,Finance Policy,expense fraud falsify receipt,All,Medium
How long are financial records retained?,General ledger and trial balance: 7 years. AP invoices and POs: 7 years. Payroll records: 7 years (US); 6 years (UK); 8 years (Germany). Expense claims and receipts: 7 years. Board minutes: permanent. See Finance_Policy.docx Section 18.,Finance,Finance Policy,financial records retention,Finance,Medium
What is the spending limit for a Director?,A Director (M3) can approve single transactions up to USD 50000 and annual vendor commitments up to USD 250000. Contract terms up to 36 months. Above USD 25K requires Finance co-approval. See Finance_Policy.docx Section 2.2.,Finance,Finance Policy,director spending limit authority,Finance,Medium
What is the spending limit for a VP?,A VP (M4) can approve single transactions up to USD 250000 and annual vendor commitments up to USD 1000000. Contract terms up to 48 months. Requires CFO awareness above USD 100K. See Finance_Policy.docx Section 2.2.,Finance,Finance Policy,VP spending limit authority M4,Finance,Medium
Can an individual both initiate and approve their own payment?,No. No single individual may initiate and approve their own payment request. All payments above USD 10000 require dual approval in NetSuite. This is a core segregation of duties control. See Finance_Policy.docx Section 7.3.,Finance,Finance Policy,segregation of duties payment approval,Finance,Hard
What is OptiAgent's primary ERP system?,NetSuite is OptiAgent's ERP (Enterprise Resource Planning) system used for the general ledger, accounts payable, accounts receivable, fixed assets, and financial reporting. See Finance_Policy.docx throughout.,Finance,Finance Policy,NetSuite ERP system,Finance,Easy
What GL account does SaaS revenue go into?,SaaS Subscription Revenue is recorded under GL account 4100 (SaaS Subscription Revenue) with sub-accounts by tier: Enterprise (4110), Mid-Market (4120), SMB (4130), and Partner Channel (4140). See Chart_of_Accounts.xlsx (Chart of Accounts tab).,Finance,Chart of Accounts,SaaS revenue GL account,Finance,Medium
What GL account does AWS cloud spend go into?,Production cloud infrastructure (AWS, GCP, Azure) is recorded under GL account 5100 (Cloud Infrastructure — COGS). Development and test cloud spend is under GL account 6300 (R&D Cloud Infrastructure). See Chart_of_Accounts.xlsx.,Finance,Chart of Accounts,AWS cloud GL account,Finance,Medium
What cost center code should I use for Marketing in the USA?,Marketing cost centers: CC-MKT-US-001 (Demand Generation); CC-MKT-US-002 (Brand and Content); CC-MKT-US-003 (Events and Field). Select the one that best matches your expense. See Chart_of_Accounts.xlsx (Cost Centers tab).,Finance,Chart of Accounts,marketing cost center USA,Marketing,Medium
What is the difference between CapEx and OpEx?,CapEx (Capital Expenditure) is spending on assets with a useful life over 12 months and cost above USD 2500 — recorded on the balance sheet and depreciated over time. OpEx (Operating Expenditure) is day-to-day running costs expensed immediately in the P&L. See Finance_Policy.docx Section 10.1.,Finance,Finance Policy,CapEx vs OpEx difference,Finance,Medium
What is transfer pricing?,Transfer pricing refers to the pricing of transactions between related OptiAgent group entities (e.g., USA parent billing the India subsidiary for services). All intercompany transactions must be priced at arm's length per OECD guidelines. Contact tax@optiagent.com for transfer pricing questions. See Finance_Policy.docx Section 13.3.,Finance,Finance Policy,transfer pricing intercompany,Finance,Hard
What taxes does OptiAgent pay in Germany?,In Germany OptiAgent pays Körperschaftsteuer (Corporation Tax) and Gewerbesteuer (Trade Tax) on profits plus Umsatzsteuer (VAT) on transactions and Lohnsteuer (payroll tax). Tax returns are filed annually with KPMG. See Finance_Policy.docx Section 13.2.,Finance,Finance Policy,Germany tax Körperschaftsteuer VAT,Germany,Hard
What is GST in India and when is it filed?,GST (Goods and Services Tax) is India's unified indirect tax on goods and services. OptiAgent India files GSTR-1 and GSTR-3B monthly and GSTR-9 annually. The GST rate on SaaS services in India is 18%. See Finance_Policy.docx Section 13.2.,Finance,Finance Policy,GST India GSTR monthly,India,Hard
Does OptiAgent file R&D tax credits?,Yes. In the USA Section 41 R&D Tax Credits are claimed annually with PwC support. In the UK Research and Development Expenditure Credits (RDEC) are claimed where qualifying R&D activity occurs. See Finance_Policy.docx Section 19.1 and 19.2.,Finance,Finance Policy,R&D tax credit USA UK,Finance,Hard
What is OptiAgent's functional currency?,OptiAgent's functional currency is USD. Subsidiaries in the UK (GBP), India (INR), Germany (EUR), and Singapore (SGD) report in local currency and are consolidated at the average and closing FX rates per ASC 830 / IAS 21. See Finance_Policy.docx Section 9.3.,Finance,Finance Policy,functional currency USD FX,Finance,Hard
How are FX gains and losses recorded?,Realized and unrealized foreign exchange gains and losses are recorded in GL account 9300 (FX Gain / Loss) in the P&L as Other Income/Expense. The balance sheet is revalued at the closing rate monthly. See Chart_of_Accounts.xlsx and Finance_Policy.docx Section 9.3.,Finance,Chart of Accounts,FX gain loss GL account,Finance,Hard
What is the Annual Wage Supplement (AWS) in Singapore?,The AWS is a 13th month salary payment equivalent to one month's base salary paid in December. It applies to all permanent Singapore employees who have completed at least 3 months of service. See Employee_Handbook.pdf Section 11.5.,Payroll,Finance Policy,annual wage supplement AWS Singapore,Singapore,Easy
How is the employee bonus calculated?,Annual performance bonuses are paid in March for the prior fiscal year. Target bonus percentages by grade: IC1–IC3: 5–10%; IC4–IC5: 15–20%; IC6–IC7: 25–30%; M1–M2: 15–18%; M3–M4: 22–30%. Actual payout is modified by company performance (0.7x to 1.3x modifier). See Salary_Grades.xlsx Sheet 4.,Compensation,Salary Grades,bonus calculation percentage modifier,All,Medium
When are annual bonuses paid?,Annual performance bonuses are paid in March via the regular payroll for the prior fiscal year performance. To be eligible employees must be active at the time of payment. See Salary_Grades.xlsx Sheet 4 (Bonus Structure).,Compensation,Salary Grades,bonus paid March payroll,All,Easy
Are sales commissions part of the bonus?,No. Sales commissions are a separate variable compensation element paid monthly or quarterly based on quota attainment. Commissions are not part of the annual performance bonus. See Salary_Grades.xlsx Sheet 4 (IC2 Sales and IC3 Sales rows).,Compensation,Salary Guides,sales commission vs bonus,Sales,Medium
What is the spending limit for a VP of Finance to approve a payment?,A VP (M4) can approve single transactions up to USD 250000 in NetSuite without additional approval. Above USD 250K requires CEO co-approval. For payroll-specific payments the Controller and VP Finance dual sign off on all payroll runs. See Finance_Policy.docx Section 2.2.,Finance,Finance Policy,VP Finance payment approval limit,Finance,Hard
Can I work with a vendor who is also a personal friend or relative?,Yes but you must declare the conflict of interest via the Conflict of Interest form in Workday before the procurement process begins. You must then recuse yourself from the vendor selection and approval decision. Failure to disclose is a violation of the Anti-Fraud Policy. See Finance_Policy.docx Section 6.4.,Ethics,Finance Policy,conflict of interest vendor friend,All,Hard
What is a sole-source procurement and when is it allowed?,Sole-source procurement occurs when only one vendor can provide a specific good or service. For amounts above USD 10000 a written justification and Director approval plus Finance sign-off are required. Sole-source must not be used to bypass competitive procurement requirements. See Finance_Policy.docx Section 6.2.,Procurement,Finance Policy,sole source procurement justification,Finance,Hard
What is the company's policy on cryptocurrency payments to vendors?,OptiAgent does not make or accept cryptocurrency payments. All vendor payments are made via approved bank transfer methods (ACH, BACS, SEPA, NEFT, wire transfer). Any request to pay via cryptocurrency should be reported to Finance and Security immediately.,Procurement,Finance Policy,cryptocurrency payment vendor,Finance,Hard
What approvals are needed for a new office lease?,Office leases are capital commitments. The CFO approves lease terms; VP facilities negotiates. Leases above USD 500K total commitment require CEO and Board approval. All leases are reviewed by Legal. New office openings require CEO approval. See Finance_Policy.docx Section 2.2.,Finance,Finance Policy,office lease approval,Finance,Hard
How do I request an employee advance on my salary?,Employee salary advances require HR and Finance joint approval. Contact hr.global@optiagent.com to initiate the process. A repayment schedule is required. See Finance_Policy.docx Section 2.3.,Finance,Finance Policy,salary advance employee loan,All,Hard
Who is the Director of Internal Audit?,The Director of Internal Audit is Priya Nair. Contact: internal.audit@optiagent.com. See Finance_Policy.docx Section 1.3.,Finance,Finance Policy,internal audit director Priya Nair,Finance,Easy
What is the Controller's role?,The Controller (Sunita Patel) is responsible for accounting, the monthly close process, technical accounting interpretations, financial consolidation, and maintaining the integrity of the general ledger. Contact: sunita.patel@optiagent.com. See Finance_Policy.docx Section 1.3.,Finance,Finance Policy,controller accounting role,Finance,Easy
What is the GL account for stock-based compensation?,Stock-based compensation (RSU and option expense) is recorded in GL account 9000 and allocated across R&D (6000), Sales and Marketing (7000), and G&A (8000) based on employee classification. See Chart_of_Accounts.xlsx.,Finance,Chart of Accounts,stock based compensation GL SBC RSU,Finance,Hard
What is the budget code for digital advertising?,The budget code for digital advertising is BUD-MKT-001 mapped to GL account 7400 and cost center CC-MKT-US-001. Annual budget: USD 4000000. Budget owner: VP Marketing. See Chart_of_Accounts.xlsx (Budget Codes tab).,Finance,Chart of Accounts,digital advertising budget code,Marketing,Medium
What is the chart of accounts number for accounts receivable?,GL account 1100 is the parent Accounts Receivable account. Sub-accounts: 1110 (Enterprise customers), 1120 (Mid-Market), 1130 (SMB), 1140 (Partner Channel), 1150 (Allowance for Doubtful Accounts). See Chart_of_Accounts.xlsx.,Finance,Chart of Accounts,accounts receivable GL account number,Finance,Medium
What is the chart of accounts number for payroll expense?,Payroll expense is split by department function. Key accounts: Engineering salaries (6100); Sales salaries (7100); Sales commissions (7200); HR personnel (8100); Finance personnel (8200). See Chart_of_Accounts.xlsx for the full list.,Finance,Chart of Accounts,payroll expense GL account,Finance,Medium
How is production cloud spend classified?,Production cloud infrastructure (AWS, GCP, Azure) is classified as Cost of Revenue (COGS) under GL account 5100. Development and test cloud spend is R&D under GL account 6300. The split is based on environment tags in the cloud billing account. See Chart_of_Accounts.xlsx.,Finance,Chart of Accounts,cloud spend COGS R&D classification,Engineering,Hard
How does OptiAgent handle lease accounting?,Leases over 12 months are recorded on the balance sheet as Right-of-Use Assets (GL 1900) and corresponding Lease Liabilities (GL 2300 current; 2400 long-term) per ASC 842 / IFRS 16. Short-term leases (< 12 months) are expensed directly to G&A (GL 8500). See Finance_Policy.docx Section 11.2 and Chart_of_Accounts.xlsx.,Finance,Finance Policy,lease accounting ASC 842 IFRS 16,Finance,Hard
