Country,Office,Holiday Name,Holiday Type,Date,Recurring,Working Day Impact,Notes
USA,San Francisco,Presidents Day,Public Holiday,2025-02-17,Yes,Full Day Off,Third Monday in February
USA,Austin,Presidents Day,Public Holiday,2025-02-17,Yes,Full Day Off,Third Monday in February
India,Bangalore,Maha Shivaratri,Public Holiday,2025-02-26,Yes,Full Day Off,Hindu festival; Karnataka
India,Hyderabad,Maha Shivaratri,Public Holiday,2025-02-26,Yes,Full Day Off,Hindu festival; Telangana
India,Pune,Maha Shivaratri,Public Holiday,2025-02-26,Yes,Full Day Off,Hindu festival; Maharashtra
Germany,Berlin,Rosenmontag,Regional Holiday,2025-03-03,No,Optional — depends on state,Observed in some German states only; not Berlin officially
UK,London,Good Friday,Public Holiday,2025-04-18,Yes,Full Day Off,Bank holiday
UK,London,Easter Monday,Public Holiday,2025-04-21,Yes,Full Day Off,Bank holiday
USA,New York,Good Friday,Observance,2025-04-18,Yes,Half Day,Not federal; company observance
USA,San Francisco,Good Friday,Observance,2025-04-18,Yes,Half Day,Not federal; company observance
USA,Austin,Good Friday,Observance,2025-04-18,Yes,Half Day,Not federal; company observance
Germany,Berlin,Karfreitag (Good Friday),Public Holiday,2025-04-18,Yes,Full Day Off,Gesetzlicher Feiertag
Germany,Berlin,Ostermontag (Easter Monday),Public Holiday,2025-04-21,Yes,Full Day Off,Gesetzlicher Feiertag
India,Bangalore,Ugadi,Public Holiday,2025-03-30,Yes,Full Day Off,Kannada New Year; Karnataka
India,Hyderabad,Ugadi,Public Holiday,2025-03-30,Yes,Full Day Off,Telugu New Year; Telangana
India,Pune,Gudi Padwa,Public Holiday,2025-03-30,Yes,Full Day Off,Marathi New Year; Maharashtra
India,Bangalore,Ram Navami,Public Holiday,2025-04-06,Yes,Full Day Off,Hindu festival
India,Hyderabad,Ram Navami,Public Holiday,2025-04-06,Yes,Full Day Off,Hindu festival
India,Pune,Ram Navami,Public Holiday,2025-04-06,Yes,Full Day Off,Hindu festival
Singapore,Singapore,Good Friday,Public Holiday,2025-04-18,Yes,Full Day Off,National holiday
India,Bangalore,Dr. Ambedkar Jayanti,Public Holiday,2025-04-14,Yes,Full Day Off,National holiday
India,Hyderabad,Dr. Ambedkar Jayanti,Public Holiday,2025-04-14,Yes,Full Day Off,National holiday
India,Pune,Dr. Ambedkar Jayanti,Public Holiday,2025-04-14,Yes,Full Day Off,National holiday
Germany,Berlin,Tag der Arbeit (Labour Day),Public Holiday,2025-05-01,Yes,Full Day Off,National holiday
UK,London,Early May Bank Holiday,Public Holiday,2025-05-05,Yes,Full Day Off,First Monday in May
UK,London,Spring Bank Holiday,Public Holiday,2025-05-26,Yes,Full Day Off,Last Monday in May
USA,New York,Memorial Day,Public Holiday,2025-05-26,Yes,Full Day Off,Last Monday in May
USA,San Francisco,Memorial Day,Public Holiday,2025-05-26,Yes,Full Day Off,Last Monday in May
USA,Austin,Memorial Day,Public Holiday,2025-05-26,Yes,Full Day Off,Last Monday in May
Germany,Berlin,Christi Himmelfahrt (Ascension Day),Public Holiday,2025-05-29,Yes,Full Day Off,Gesetzlicher Feiertag
Germany,Berlin,Pfingstmontag (Whit Monday),Public Holiday,2025-06-09,Yes,Full Day Off,Gesetzlicher Feiertag
Singapore,Singapore,Labour Day,Public Holiday,2025-05-01,Yes,Full Day Off,National holiday
Singapore,Singapore,Vesak Day,Public Holiday,2025-05-12,Yes,Full Day Off,National holiday
India,Bangalore,Eid ul-Fitr,Public Holiday,2025-03-31,Yes,Full Day Off,Date based on moon sighting; approximate
India,Hyderabad,Eid ul-Fitr,Public Holiday,2025-03-31,Yes,Full Day Off,Date based on moon sighting; approximate
India,Pune,Eid ul-Fitr,Public Holiday,2025-03-31,Yes,Full Day Off,Date based on moon sighting; approximate
India,Bangalore,Buddha Purnima,Public Holiday,2025-05-12,Yes,Full Day Off,National holiday
India,Hyderabad,Buddha Purnima,Public Holiday,2025-05-12,Yes,Full Day Off,National holiday
India,Pune,Buddha Purnima,Public Holiday,2025-05-12,Yes,Full Day Off,National holiday
USA,New York,Juneteenth,Public Holiday,2025-06-19,Yes,Full Day Off,Federal holiday
USA,San Francisco,Juneteenth,Public Holiday,2025-06-19,Yes,Full Day Off,Federal holiday
USA,Austin,Juneteenth,Public Holiday,2025-06-19,Yes,Full Day Off,Federal holiday
USA,New York,Independence Day,Public Holiday,2025-07-04,Yes,Full Day Off,Federal holiday
USA,San Francisco,Independence Day,Public Holiday,2025-07-04,Yes,Full Day Off,Federal holiday
USA,Austin,Independence Day,Public Holiday,2025-07-04,Yes,Full Day Off,Federal holiday
Singapore,Singapore,Hari Raya Puasa,Public Holiday,2025-03-31,Yes,Full Day Off,Date based on moon sighting; approximate
Singapore,Singapore,Hari Raya Haji,Public Holiday,2025-06-07,Yes,Full Day Off,Date approximate; confirmed by MUIS
India,Bangalore,Eid ul-Adha,Public Holiday,2025-06-07,Yes,Full Day Off,Date based on moon sighting; approximate
India,Hyderabad,Eid ul-Adha,Public Holiday,2025-06-07,Yes,Full Day Off,Date based on moon sighting; approximate
India,Pune,Eid ul-Adha,Public Holiday,2025-06-07,Yes,Full Day Off,Date based on moon sighting; approximate
India,Bangalore,Independence Day,Public Holiday,2025-08-15,Yes,Full Day Off,National holiday
India,Hyderabad,Independence Day,Public Holiday,2025-08-15,Yes,Full Day Off,National holiday
India,Pune,Independence Day,Public Holiday,2025-08-15,Yes,Full Day Off,National holiday
India,Bangalore,Janmashtami,Public Holiday,2025-08-16,Yes,Full Day Off,Hindu festival
India,Hyderabad,Janmashtami,Public Holiday,2025-08-16,Yes,Full Day Off,Hindu festival
India,Pune,Janmashtami,Public Holiday,2025-08-16,Yes,Full Day Off,Hindu festival
UK,London,Summer Bank Holiday,Public Holiday,2025-08-25,Yes,Full Day Off,Last Monday in August
USA,New York,Labor Day,Public Holiday,2025-09-01,Yes,Full Day Off,First Monday in September
USA,San Francisco,Labor Day,Public Holiday,2025-09-01,Yes,Full Day Off,First Monday in September
USA,Austin,Labor Day,Public Holiday,2025-09-01,Yes,Full Day Off,First Monday in September
Singapore,Singapore,National Day,Public Holiday,2025-08-09,Yes,Full Day Off,Singapore National Day
India,Bangalore,Gandhi Jayanti,Public Holiday,2025-10-02,Yes,Full Day Off,National holiday
India,Hyderabad,Gandhi Jayanti,Public Holiday,2025-10-02,Yes,Full Day Off,National holiday
India,Pune,Gandhi Jayanti,Public Holiday,2025-10-02,Yes,Full Day Off,National holiday
India,Bangalore,Dasara / Vijayadashami,Public Holiday,2025-10-02,Yes,Full Day Off,Hindu festival; Karnataka
India,Hyderabad,Dasara / Vijayadashami,Public Holiday,2025-10-02,Yes,Full Day Off,Hindu festival
India,Pune,Dasara / Vijayadashami,Public Holiday,2025-10-02,Yes,Full Day Off,Hindu festival
USA,New York,Columbus Day,Public Holiday,2025-10-13,Yes,Full Day Off,Second Monday in October; observed in NY
USA,San Francisco,Columbus Day,Observance,2025-10-13,Yes,Optional,California observes Indigenous Peoples Day instead
USA,Austin,Columbus Day,Observance,2025-10-13,Yes,Optional,State discretion
Germany,Berlin,Reformationstag (Reformation Day),Public Holiday,2025-10-31,No,Full Day Off,Observed in select German states; not Berlin
India,Bangalore,Diwali (Naraka Chaturdashi),Public Holiday,2025-10-20,Yes,Full Day Off,Hindu festival; date approximate
India,Hyderabad,Diwali (Naraka Chaturdashi),Public Holiday,2025-10-20,Yes,Full Day Off,Hindu festival; date approximate
India,Pune,Diwali (Naraka Chaturdashi),Public Holiday,2025-10-20,Yes,Full Day Off,Hindu festival; date approximate
India,Bangalore,Diwali (Lakshmi Puja),Public Holiday,2025-10-20,Yes,Full Day Off,Hindu festival; date approximate
India,Hyderabad,Diwali (Lakshmi Puja),Public Holiday,2025-10-20,Yes,Full Day Off,Hindu festival; date approximate
India,Pune,Diwali (Lakshmi Puja),Public Holiday,2025-10-20,Yes,Full Day Off,Hindu festival; date approximate
India,Bangalore,Kannada Rajyotsava,Public Holiday,2025-11-01,Yes,Full Day Off,Karnataka state formation day; Bangalore only
India,Bangalore,Guru Nanak Jayanti,Public Holiday,2025-11-05,Yes,Full Day Off,National holiday
India,Hyderabad,Guru Nanak Jayanti,Public Holiday,2025-11-05,Yes,Full Day Off,National holiday
India,Pune,Guru Nanak Jayanti,Public Holiday,2025-11-05,Yes,Full Day Off,National holiday
Germany,Berlin,Buß- und Bettag,Public Holiday,2025-11-19,No,Full Day Off,Observed in Saxony only; not Berlin
USA,New York,Veterans Day,Public Holiday,2025-11-11,Yes,Full Day Off,Federal holiday
USA,San Francisco,Veterans Day,Public Holiday,2025-11-11,Yes,Full Day Off,Federal holiday
USA,Austin,Veterans Day,Public Holiday,2025-11-11,Yes,Full Day Off,Federal holiday
USA,New York,Thanksgiving Day,Public Holiday,2025-11-27,Yes,Full Day Off,Fourth Thursday in November
USA,San Francisco,Thanksgiving Day,Public Holiday,2025-11-27,Yes,Full Day Off,Fourth Thursday in November
USA,Austin,Thanksgiving Day,Public Holiday,2025-11-27,Yes,Full Day Off,Fourth Thursday in November
USA,New York,Day After Thanksgiving,Company Holiday,2025-11-28,Yes,Full Day Off,OptiAgent company holiday; not a federal holiday
USA,San Francisco,Day After Thanksgiving,Company Holiday,2025-11-28,Yes,Full Day Off,OptiAgent company holiday; not a federal holiday
USA,Austin,Day After Thanksgiving,Company Holiday,2025-11-28,Yes,Full Day Off,OptiAgent company holiday; not a federal holiday
Singapore,Singapore,Deepavali,Public Holiday,2025-10-20,Yes,Full Day Off,National holiday; date approximate
UK,London,Christmas Day,Public Holiday,2025-12-25,Yes,Full Day Off,Bank holiday
UK,London,Boxing Day,Public Holiday,2025-12-26,Yes,Full Day Off,Bank holiday
USA,New York,Christmas Day,Public Holiday,2025-12-25,Yes,Full Day Off,Federal holiday
USA,San Francisco,Christmas Day,Public Holiday,2025-12-25,Yes,Full Day Off,Federal holiday
USA,Austin,Christmas Day,Public Holiday,2025-12-25,Yes,Full Day Off,Federal holiday
Germany,Berlin,Heiligabend (Christmas Eve — half day),Company Holiday,2025-12-24,Yes,Half Day,OptiAgent closes at 13:00 local time
Germany,Berlin,1. Weihnachtstag (Christmas Day),Public Holiday,2025-12-25,Yes,Full Day Off,Gesetzlicher Feiertag
Germany,Berlin,2. Weihnachtstag (Boxing Day),Public Holiday,2025-12-26,Yes,Full Day Off,Gesetzlicher Feiertag
India,Bangalore,Christmas Day,Public Holiday,2025-12-25,Yes,Full Day Off,National holiday
India,Hyderabad,Christmas Day,Public Holiday,2025-12-25,Yes,Full Day Off,National holiday
India,Pune,Christmas Day,Public Holiday,2025-12-25,Yes,Full Day Off,National holiday
Singapore,Singapore,Christmas Day,Public Holiday,2025-12-25,Yes,Full Day Off,National holiday
USA,New York,New Year's Eve (company half-day),Company Holiday,2025-12-31,Yes,Half Day,OptiAgent closes at 13:00 local time
USA,San Francisco,New Year's Eve (company half-day),Company Holiday,2025-12-31,Yes,Half Day,OptiAgent closes at 13:00 local time
USA,Austin,New Year's Eve (company half-day),Company Holiday,2025-12-31,Yes,Half Day,OptiAgent closes at 13:00 local time
UK,London,New Year's Eve (company half-day),Company Holiday,2025-12-31,Yes,Half Day,OptiAgent closes at 13:00 local time
India,Bangalore,New Year's Eve (company half-day),Company Holiday,2025-12-31,Yes,Half Day,OptiAgent closes at 13:00 local time
India,Hyderabad,New Year's Eve (company half-day),Company Holiday,2025-12-31,Yes,Half Day,OptiAgent closes at 13:00 local time
India,Pune,New Year's Eve (company half-day),Company Holiday,2025-12-31,Yes,Half Day,OptiAgent closes at 13:00 local time
Germany,Berlin,New Year's Eve (company half-day),Company Holiday,2025-12-31,Yes,Half Day,OptiAgent closes at 13:00 local time
Singapore,Singapore,New Year's Eve (company half-day),Company Holiday,2025-12-31,Yes,Half Day,OptiAgent closes at 13:00 local time
India,Bangalore,Holi,Public Holiday,2025-03-14,Yes,Full Day Off,Hindu festival
India,Hyderabad,Holi,Public Holiday,2025-03-14,Yes,Full Day Off,Hindu festival
India,Pune,Holi,Public Holiday,2025-03-14,Yes,Full Day Off,Hindu festival
India,Bangalore,Muharram,Public Holiday,2025-07-06,Yes,Full Day Off,Islamic New Year; date approximate
India,Hyderabad,Muharram,Public Holiday,2025-07-06,Yes,Full Day Off,Islamic New Year; date approximate
India,Pune,Muharram,Public Holiday,2025-07-06,Yes,Full Day Off,Islamic New Year; date approximate
India,Bangalore,Gandhi Jayanti (Observed),Public Holiday,2025-10-02,Yes,Full Day Off,National holiday — also doubles as Dasara in Karnataka
India,Bangalore,Milad-un-Nabi,Public Holiday,2025-09-04,Yes,Full Day Off,Prophet's Birthday; date approximate
India,Hyderabad,Milad-un-Nabi,Public Holiday,2025-09-04,Yes,Full Day Off,Prophet's Birthday; date approximate
India,Pune,Milad-un-Nabi,Public Holiday,2025-09-04,Yes,Full Day Off,Prophet's Birthday; date approximate
Germany,Berlin,Neujahr (New Year's Day),Public Holiday,2026-01-01,Yes,Full Day Off,Recurring annually
Germany,Berlin,Heilige Drei Konige (Epiphany),Public Holiday,2025-01-06,No,Full Day Off,Observed in Baden-Wuerttemberg and Bavaria; not Berlin
Germany,Berlin,Maifeiertag (Labour Day),Public Holiday,2025-05-01,Yes,Full Day Off,National holiday
UK,London,New Year's Day (Bank Holiday),Public Holiday,2025-01-01,Yes,Full Day Off,Bank holiday
UK,London,St David's Day,Regional,2025-03-01,No,No Impact,Wales only; OptiAgent Cardiff staff may observe
Singapore,Singapore,Thaipusam,Public Holiday,2025-02-11,Yes,Full Day Off,National holiday
Singapore,Singapore,Polling Day (if applicable),Contingent Holiday,2025-05-03,No,Full Day Off,Subject to official election call; confirmed 2025
USA,New York,OptiAgent Founders Day,Company Holiday,2025-06-13,Yes,Full Day Off,Annual company celebration; date is OptiAgent founding anniversary
USA,San Francisco,OptiAgent Founders Day,Company Holiday,2025-06-13,Yes,Full Day Off,Annual company celebration
USA,Austin,OptiAgent Founders Day,Company Holiday,2025-06-13,Yes,Full Day Off,Annual company celebration
UK,London,OptiAgent Founders Day,Company Holiday,2025-06-13,Yes,Full Day Off,Annual company celebration
India,Bangalore,OptiAgent Founders Day,Company Holiday,2025-06-13,Yes,Full Day Off,Annual company celebration
India,Hyderabad,OptiAgent Founders Day,Company Holiday,2025-06-13,Yes,Full Day Off,Annual company celebration
India,Pune,OptiAgent Founders Day,Company Holiday,2025-06-13,Yes,Full Day Off,Annual company celebration
Germany,Berlin,OptiAgent Founders Day,Company Holiday,2025-06-13,Yes,Full Day Off,Annual company celebration
Singapore,Singapore,OptiAgent Founders Day,Company Holiday,2025-06-13,Yes,Full Day Off,Annual company celebration
India,Bangalore,Bakrid / Eid ul-Adha,Public Holiday,2025-06-07,Yes,Full Day Off,Islamic festival; date approximate
India,Hyderabad,Bakrid / Eid ul-Adha,Public Holiday,2025-06-07,Yes,Full Day Off,Islamic festival; date approximate
India,Pune,Bakrid / Eid ul-Adha,Public Holiday,2025-06-07,Yes,Full Day Off,Islamic festival; date approximate
USA,New York,New Year's Day (Observed),Public Holiday,2026-01-01,Yes,Full Day Off,If Jan 1 falls on weekend this shifts to Monday
